,timestamp,source,tweets ago,tweet text,compound score,positive score,negative score,neutral score
0,Sat Jan 20 18:59:56 +0000 2018,@BBCworld,0,Why is Turkey attacking Syria? https://t.co/UWNSU6LpBx,-0.4588,0.0,0.375,0.625
1,Sat Jan 20 18:46:41 +0000 2018,@BBCworld,1,"At the beginning of Donald Trump's presidency, there was concern over his potential conflicts of interest as presid… https://t.co/AkdMzDZxSK",0.1027,0.133,0.115,0.752
2,Sat Jan 20 18:15:46 +0000 2018,@BBCworld,2,The Brazilian man who lives in a sandcastle https://t.co/3qhGDqAPqk,0.0,0.0,0.0,1.0
3,Sat Jan 20 17:42:16 +0000 2018,@BBCworld,3,Football president George Weah puts Liberian army to the test https://t.co/RizGdiNWuo,0.0,0.0,0.0,1.0
4,Sat Jan 20 17:24:17 +0000 2018,@BBCworld,4,Gunmen 'attacking major Kabul hotel' https://t.co/5hMWar4rzM,-0.4588,0.0,0.375,0.625
5,Sat Jan 20 16:08:05 +0000 2018,@BBCworld,5,India police 'failed to help injured teenagers' https://t.co/Tuu7HBGMWv,-0.5106,0.197,0.438,0.365
6,Sat Jan 20 16:04:22 +0000 2018,@BBCworld,6,The Brazilian man who lives in a sandcastle https://t.co/vGI7oUfZl4,0.0,0.0,0.0,1.0
7,Sat Jan 20 14:13:12 +0000 2018,@BBCworld,7,"RT @BBCSteveR: A pro-Kremlin paper today reports that real incomes in Russia have fallen &amp; that ""people continue to skimp on almost everyth…",-0.3612,0.0,0.106,0.894
8,Sat Jan 20 13:51:40 +0000 2018,@BBCworld,8,Nigeria: Kidnapped US and Canadian citizens freed https://t.co/dZzRGB62J5,0.4019,0.278,0.0,0.722
9,Sat Jan 20 13:45:00 +0000 2018,@BBCworld,9,Syria: Turkey ground operation in Afrin begins 'de facto' https://t.co/w058FNSZ76,0.0,0.0,0.0,1.0
10,Sat Jan 20 13:34:21 +0000 2018,@BBCworld,10,Australian Open: Roger Federer and Novak Djokovic into fourth round https://t.co/94lbTR21jQ,0.0,0.0,0.0,1.0
11,Sat Jan 20 13:30:49 +0000 2018,@BBCworld,11,Top French chef Paul Bocuse dies at 91 https://t.co/78dZtU3V4v,0.2023,0.184,0.0,0.816
12,Sat Jan 20 13:20:19 +0000 2018,@BBCworld,12,US shutdown: Trump and Democrats blame each other https://t.co/PavJjbsiCs,-0.34,0.0,0.231,0.769
13,Sat Jan 20 13:02:23 +0000 2018,@BBCworld,13,Why Italians are saying 'No' to takeaway coffee https://t.co/KA2KSf7lzZ,0.0,0.0,0.0,1.0
14,Sat Jan 20 12:38:41 +0000 2018,@BBCworld,14,Pope sends gift to police woman thrown from horse https://t.co/iGCmCfdqX2,0.4404,0.244,0.0,0.756
15,Sat Jan 20 12:34:10 +0000 2018,@BBCworld,15,Winter Olympics 2018: North Korea will send 22 athletes to Pyeongchang https://t.co/YdmSfiH46g,0.0,0.0,0.0,1.0
16,Sat Jan 20 12:08:33 +0000 2018,@BBCworld,16,RT @BBCOS: You might have seen Cindy Garcia and her family in a viral video. After living in the US for 30 years Cindy's husband Jorge was…,0.0,0.0,0.0,1.0
