Datetime,City,Latitude,Longitude,Temperature,Humidity %,Cloud Coverage %,Wind Speed
12/09/2017,Wewak,-3.55,143.63,82.06,88,80,2.75
12/09/2017,Port Alfred,-33.59,26.89,69.78,86,20,23.67
12/09/2017,Jamestown,42.1,-79.24,20.05,78,1,8.05
12/09/2017,Busselton,-33.65,115.33,79.32,70,68,3.87
12/09/2017,Thompson,55.74,-97.86,-4.01,83,75,2.24
12/09/2017,Nanortalik,60.14,-45.24,35.76,84,88,31.38
12/09/2017,Lumberton,34.62,-79.01,36.5,93,90,11.41
12/09/2017,Ushuaia,-54.8,-68.3,42.8,70,75,31.09
12/09/2017,Lukovetskiy,64.3,41.92,12.2,100,75,11.18
12/09/2017,Rikitea,-23.12,-134.97,75.31,100,92,12.1
12/09/2017,Punta Arenas,-53.15,-70.92,39.2,86,0,23.04
12/09/2017,Revelstoke,50.98,-118.2,28.4,74,90,1.7
12/09/2017,Leningradskiy,69.38,178.42,18.84,94,80,12.59
12/09/2017,Banda Aceh,5.56,95.32,76.98,100,76,1.86
12/09/2017,Hamilton,43.23,-79.95,30.22,46,90,16.11
12/09/2017,Luebo,-5.35,21.42,68.61,100,92,2.59
12/09/2017,San Quintin,30.48,-115.95,41.34,91,8,3.53
12/09/2017,Cambrai,50.17,3.23,29.64,86,0,9.17
12/09/2017,Aktau,43.65,51.2,33.8,64,40,11.18
12/09/2017,Comodoro Rivadavia,-45.87,-67.5,59.0,44,0,20.8
12/09/2017,Nhulunbuy,-12.23,136.77,89.6,55,0,10.29
12/09/2017,Vila Franca do Campo,37.72,-25.43,66.2,88,20,9.17
12/09/2017,Aswan,24.09,32.91,54.57,88,8,9.75
12/09/2017,New Norfolk,-42.78,147.06,66.2,39,75,24.16
12/09/2017,Eureka,40.8,-124.16,44.92,87,20,13.87
12/09/2017,Castro,-24.79,-50.01,60.96,96,92,6.4
12/09/2017,Tual,-5.67,132.75,84.81,100,0,5.06
12/09/2017,Atambua,-9.11,124.89,77.83,100,92,3.76
12/09/2017,Suntar,62.14,117.63,-19.19,56,68,4.72
12/09/2017,Albany,42.65,-73.76,28.36,54,75,2.53
12/09/2017,Oktyabrskoye,43.06,44.74,31.21,86,0,2.08
12/09/2017,Bluff,-46.6,168.33,61.41,99,48,17.4
12/09/2017,Namatanai,-3.67,152.43,79.59,100,64,3.98
12/09/2017,Avarua,-21.21,-159.78,75.2,94,90,1.12
12/09/2017,San Luis,-33.3,-66.34,63.16,37,0,5.1
12/09/2017,Esperance,-33.87,121.9,90.39,28,12,5.84
12/09/2017,Yarega,63.44,53.58,16.81,90,76,2.53
12/09/2017,Cape Town,-33.93,18.42,68.0,72,20,33.33
12/09/2017,Saposoa,-6.93,-76.77,72.03,92,0,1.36
12/09/2017,Ponta do Sol,32.67,-17.1,64.4,63,40,8.05
12/09/2017,Ayan,56.45,138.17,15.24,79,88,12.37
12/09/2017,Hermanus,-34.42,19.23,63.34,88,88,6.55
12/09/2017,Gamba,-2.65,10.0,75.54,96,80,4.5
12/09/2017,Talnakh,69.49,88.4,5.34,84,80,14.27
12/09/2017,Poum,-20.23,164.02,78.78,100,56,12.55
12/09/2017,Barrow,71.29,-156.79,-0.41,77,90,23.04
12/09/2017,Veinticinco de Mayo,-35.43,-60.17,69.01,70,0,10.31
12/09/2017,Laguna,38.42,-121.42,39.38,93,1,2.53
12/09/2017,Lazaro Cardenas,17.96,-102.2,69.15,100,0,2.82
12/09/2017,Tiksi,71.69,128.87,-11.59,76,56,2.86
12/09/2017,Ormara,25.21,64.64,70.59,80,0,3.71
12/09/2017,Dikson,73.51,80.55,-0.43,100,32,26.69
12/09/2017,Qaanaaq,77.48,-69.36,24.42,91,76,11.81
